,LogisticRegression,SVM,NaiveBayes,RandomForest
accuracy,0.5935483870967742,0.6103225806451613,0.6154838709677419,0.5832258064516129
precision_weighted,0.5934420869838638,0.6347830205235231,0.6533770747941617,0.5856450670029583
recall_weighted,0.5935483870967742,0.6103225806451613,0.6154838709677419,0.5832258064516129
f1_weighted,0.5776403089462474,0.5811361084580383,0.5797347754660184,0.5630795764964753
f1_per_class,[0.68304094 0.46938776 0.49376559],[0.7063922  0.45864662 0.47645429],[0.71518987 0.44186047 0.47093023],[0.67730901 0.45296167 0.46632124]
roc_auc,0.7188149575342876,0.7183062102314249,0.7241385680145109,0.7129075382796214
